"","GOI","Freq"
"317","ENSG00000163536.13",11
"318","ENSG00000174748.22",11
"319","ENSG00000176907.5",11
"320","ENSG00000251562.8",11
"321","ENSG00000104419.17",10
"322","ENSG00000105372.8",10
"323","ENSG00000115884.11",10
"324","ENSG00000130303.13",10
"325","ENSG00000133321.11",10
"326","ENSG00000138801.9",10
"327","ENSG00000166743.9",10
"328","ENSG00000168542.16",10
"329","ENSG00000168743.13",10
"330","ENSG00000173467.9",10
"331","ENSG00000254999.4",10
"332","ENSG00000058262.10",9
"333","ENSG00000092010.15",9
"334","ENSG00000114446.5",9
"335","ENSG00000135052.16",9
"336","ENSG00000168374.11",9
"337","ENSG00000198502.6",9
"338","ENSG00000211679.2",9
"339","ENSG00000109472.14",8
"340","ENSG00000124145.6",8
"341","ENSG00000125148.7",8
"342","ENSG00000145592.14",8
"343","ENSG00000163431.13",8
"344","ENSG00000164816.8",8
"345","ENSG00000204388.7",8
"346","ENSG00000237973.1",8
"347","ENSG00000265135.1",8
"348","ENSG00000111845.5",7
"349","ENSG00000116741.8",7
"350","ENSG00000118680.14",7
"351","ENSG00000131771.14",7
"352","ENSG00000139329.5",7
"353","ENSG00000166441.13",7
"354","ENSG00000180879.14",7
"355","ENSG00000198763.3",7
"356","ENSG00000211892.4",7
"357","ENSG00000236824.2",7
"358","ENSG00000260260.1",7
"359","ENSG00000266019.1",7
"360","ENSG00000079689.14",6
"361","ENSG00000104332.12",6
"362","ENSG00000108639.8",6
"363","ENSG00000108691.9",6
"364","ENSG00000121005.9",6
"365","ENSG00000124762.14",6
"366","ENSG00000131981.16",6
"367","ENSG00000133392.18",6
"368","ENSG00000147604.14",6
"369","ENSG00000149021.7",6
"370","ENSG00000165949.12",6
"371","ENSG00000166482.12",6
"372","ENSG00000167617.3",6
"373","ENSG00000173110.8",6
"374","ENSG00000175084.12",6
"375","ENSG00000183844.17",6
"376","ENSG00000197728.11",6
"377","ENSG00000197766.8",6
"378","ENSG00000198959.12",6
"379","ENSG00000255302.5",6
"380","ENSG00000069275.13",5
"381","ENSG00000109814.12",5
"382","ENSG00000111057.11",5
"383","ENSG00000113384.14",5
"384","ENSG00000131844.16",5
"385","ENSG00000134443.10",5
"386","ENSG00000137558.9",5
"387","ENSG00000142676.14",5
"388","ENSG00000144481.17",5
"389","ENSG00000155115.7",5
"390","ENSG00000162545.6",5
"391","ENSG00000188643.11",5
"392","ENSG00000196924.19",5
"393","ENSG00000237442.3",5
"394","ENSG00000261061.1",5
"395","ENSG00000077147.16",4
"396","ENSG00000106541.12",4
"397","ENSG00000107281.10",4
"398","ENSG00000120885.22",4
"399","ENSG00000126247.11",4
"400","ENSG00000127184.13",4
"401","ENSG00000127884.5",4
"402","ENSG00000127954.13",4
"403","ENSG00000143384.14",4
"404","ENSG00000148346.12",4
"405","ENSG00000161395.14",4
"406","ENSG00000164822.5",4
"407","ENSG00000170373.8",4
"408","ENSG00000184678.10",4
"409","ENSG00000187601.5",4
"410","ENSG00000189221.10",4
"411","ENSG00000196754.13",4
"412","ENSG00000013588.9",3
"413","ENSG00000019102.12",3
"414","ENSG00000042753.12",3
"415","ENSG00000051108.15",3
"416","ENSG00000099795.7",3
"417","ENSG00000100285.10",3
"418","ENSG00000104371.5",3
"419","ENSG00000105281.12",3
"420","ENSG00000111341.10",3
"421","ENSG00000130522.6",3
"422","ENSG00000130529.16",3
"423","ENSG00000132475.10",3
"424","ENSG00000134193.15",3
"425","ENSG00000141738.14",3
"426","ENSG00000144713.13",3
"427","ENSG00000164403.15",3
"428","ENSG00000184489.12",3
"429","ENSG00000198918.8",3
"430","ENSG00000202538.1",3
"431","ENSG00000230076.1",3
"432","ENSG00000252498.1",3
"433","ENSG00000272533.1",3
"434","ENSG00000019582.15",2
"435","ENSG00000069122.19",2
"436","ENSG00000074800.16",2
"437","ENSG00000089199.10",2
"438","ENSG00000100345.22",2
"439","ENSG00000100994.12",2
"440","ENSG00000103111.15",2
"441","ENSG00000105373.19",2
"442","ENSG00000108107.15",2
"443","ENSG00000125356.7",2
"444","ENSG00000125968.9",2
"445","ENSG00000130707.18",2
"446","ENSG00000131473.17",2
"447","ENSG00000135940.7",2
"448","ENSG00000136888.8",2
"449","ENSG00000141736.14",2
"450","ENSG00000141741.12",2
"451","ENSG00000143819.12",2
"452","ENSG00000144381.18",2
"453","ENSG00000147403.18",2
"454","ENSG00000154330.13",2
"455","ENSG00000157613.11",2
"456","ENSG00000163220.11",2
"457","ENSG00000164266.11",2
"458","ENSG00000171863.15",2
"459","ENSG00000172757.13",2
"460","ENSG00000184956.16",2
"461","ENSG00000196154.12",2
"462","ENSG00000228474.6",2
"463","ENSG00000251321.1",2
"464","ENSG00000273179.1",2
